site,longitude,latitude,depth,trad_LOI,density,sediment_score,sedimentscore_cata,sedimentscore_name,canopy_ht,gravel_percent,coarse_sand_percent,medium_sand_percent,fine_sand_percent,silt_percent,clay_percent,mud_percent,T_cover,S_cover,H_cover,CGT_cover,total_cover,bottom tensile N,top tensile N,bottom_K,surface_K
506,-81.38328333,24.65933333,1.524,2.14499631,0.723449206,1.886666667,2,Sandy mud,11.45714286,0.04292666,1.406171398,3.614073736,15.03728735,60.10772668,19.79181418,79.89954086,18.05,0,0,5.67,18.05,,,,
508,-81.7494,24.55221667,0.9144,1.790132748,0.555952381,3.133333333,3,Muddy sand,25.83888889,3.436650219,5.642166502,12.20955789,39.733105,19.66833,19.3101904,38.9785204,26.03240741,13.79166667,7.375,4.87,47.19907407,,,,
307,-81.52058333,24.7251,3.048,2.473672889,0.609433333,1.983333333,2,Sandy mud,20.02777778,1.681443807,7.698715739,16.22059718,24.0053926,16.40376007,33.9900906,50.39385067,16.31018519,0,0,11.61111111,16.31018519,43.94605031,15.09134472,0.195175074,0.32860704
309,-81.68278333,24.69845,4.2672,0.992051152,1.202098413,3.666666667,4,Sand,10,0,3.448564715,33.10677,53.92383195,4.281205844,5.239627487,9.52083333,0,0,0.008333333,0.070185185,0.01,,,,
271,-81.74648333,24.54228333,6.096,1.306041856,0.695988889,3.351851852,3,Muddy sand,11.18386243,6.529587268,4.548865724,17.08247075,38.74424736,5.858514902,27.236314,33.0948289,11.34333333,0,0,9.55,11.34333333,,,,
507,-81.35463333,24.69301667,1.2192,5.341336298,0.380714286,1,1,Mud,29.96222222,0.154986552,3.561031312,11.06207296,20.95601439,26.82350807,37.44238673,64.26589479,53.41,0,3.12,0.31,56.53,,,,
sprigger,-80.93798,24.91294,1.2192,2.857076698,0.514544,3.317171717,3,Muddy sand,21.04166667,4.133333333,6.418481935,39.85224497,41.78542228,2.6580678,5.152449682,7.810517482,30.2375,13.1375,0.145833333,14.465,43.52083333,16.93608455,82.2777935,0.364721351,0.14037003
LM,-80.633,25.17992,0.6096,3.816859986,0.62775873,1,1,Mud,17.63636364,6.2,14.2,23.9,30.1,17.1,8.5,25.6,34.22727273,0,1.095454545,2.212727273,35.32272727,49.229383,7.790838611,0.210966817,0.483233093
509,-81.65451667,24.603,1.2192,4.964544414,0.338875,2.1625,2,Sandy mud,26.24768519,0.969277414,3.89241986,10.25292146,22.94020013,32.72195682,29.22322432,61.94518114,30.51759259,22.81134259,3.034722222,3.75,56.36365741,,,,
trout,-80.531833,25.213017,0.9144,3.154453511,0.540242857,1,1,Mud,7.86,4.133333333,12.72790721,24.83352263,33.13605525,17.8135257,7.355655875,25.16918158,4.175,0,13.38,0.037,17.555,24.60379522,7.6688003,0.309767111,0.485705312
