day,pre weight ,post weight ,tensile strength ,weight lost,% weight loss,tensile strength loss,% tensile strength loss
0,0.7448,0.7448,233,0,0,5.73,2.4002011
0,0.7665,0.7665,232.7,0,0,6.03,2.525866
0,0.746,0.746,232.6,0,0,6.13,2.5677544
0,0.7168,0.7168,212.2,0,0,26.53,11.1129728
0,0.732,0.732,198,0,0,40.73,17.0611151
0,0.739,0.739,262,0,0,-23.27,-9.7474134
0,0.7303,0.7303,272.8,0,0,-34.07,-14.2713526
0,0.7348,0.7348,260.2,0,0,-21.47,-8.9934235
0,0.7591,0.7591,240.8,0,0,-2.07,-0.8670883
0,0.7499,0.7499,243,0,0,-4.27,-1.7886315
1,0.7568,0.7403,141.2,0.0165,2.1802326,97.53,40.8536841
1,0.7548,0.7413,145.8,0.0135,1.7885533,92.93,38.9268211
1,0.7428,0.729,160.8,0.0138,1.8578352,77.93,32.6435722
1,0.7537,0.7322,134.8,0.0215,2.8525939,103.93,43.5345369
1,0.7654,0.7523,180.2,0.0131,1.7115234,58.53,24.517237
1,0.7425,0.7332,231.6,0.0093,1.2525253,7.13,2.9866376
1,0.7357,0.7232,179,0.0125,1.6990621,59.73,25.019897
1,0.7532,0.7422,204.4,0.011,1.4604355,34.33,14.3802622
1,0.7513,0.7376,158.2,0.0137,1.8235059,80.53,33.7326687
1,0.7301,0.714,194.4,0.0161,2.2051774,44.33,18.5690948
1,0.7409,0.7206,196,0.0203,2.7399109,42.73,17.8988816
1,0.7333,0.7235,186.3,0.0098,1.3364244,52.43,21.9620492
1,0.751,0.737,230,0.014,1.8641811,8.73,3.6568508
1,0.7133,0.693,160.9,0.0203,2.8459274,77.83,32.6016839
1,0.74,0.7314,209.2,0.0086,1.1621622,29.53,12.3696226
2,0.7404,0.7229,131.2,0.0175,2.3635873,107.53,45.0425167
2,0.752,0.7358,155.6,0.0162,2.1542553,83.13,34.8217652
2,0.7439,0.7298,155.2,0.0141,1.8954161,83.53,34.9893185
2,0.7648,0.7489,125,0.0159,2.0789749,113.73,47.6395928
2,0.7541,0.7359,176.8,0.0182,2.413473,61.93,25.9414401
2,0.7703,0.7523,177.4,0.018,2.3367519,61.33,25.6901102
2,0.77,0.7585,160,0.0115,1.4935065,78.73,32.9786788
2,0.732,0.7202,170.2,0.0118,1.6120219,68.53,28.7060696
2,0.738,0.7247,149.6,0.0133,1.802168,89.13,37.3350647
2,0.749,0.7384,131,0.0106,1.4152203,107.73,45.1262933
2,0.7514,0.7412,129.8,0.0102,1.3574661,108.93,45.6289532
2,0.7442,0.7336,102.4,0.0106,1.4243483,136.33,57.1063545
2,0.7484,0.7369,138.2,0.0115,1.5366114,100.53,42.1103338
2,0.7317,0.7194,182.2,0.0123,1.6810168,56.53,23.6794705
2,0.7287,0.7159,140.6,0.0128,1.7565528,98.13,41.105014
3,0.7417,0.7048,34.2,0.0369,4.9750573,204.53,85.6741926
3,0.7394,0.7044,47.6,0.035,4.7335678,191.13,80.061157
3,0.7389,0.6982,23.2,0.0407,5.5081878,215.53,90.2819084
3,0.73,0.6919,24.4,0.0381,5.2191781,214.33,89.7792485
3,0.764,0.7244,38.6,0.0396,5.1832461,200.13,83.8311063
3,0.7526,0.7158,82.6,0.0368,4.8897157,156.13,65.400243
3,0.7525,0.7113,25.4,0.0412,5.4750831,213.33,89.3603653
3,0.754,0.7188,58,0.0352,4.668435,180.73,75.7047711
3,0.745,0.7033,33,0.0417,5.5973154,205.73,86.1768525
3,0.766,0.7256,42.8,0.0404,5.2741514,195.93,82.0717966
3,0.7419,0.703,21,0.0389,5.2432942,217.73,91.2034516
3,0.7671,0.735,54,0.0321,4.1845913,184.73,77.3803041
3,0.7431,0.6985,36.8,0.0446,6.001884,201.93,84.5850961
3,0.7812,0.7429,33.8,0.0383,4.9027138,204.93,85.8417459
3,0.741,0.7069,28.2,0.0341,4.6018893,210.53,88.1874921
4,0.7451,0.699,44.2,0.0461,6.187089,194.53,81.48536
4,0.7538,0.7014,41.6,0.0524,6.951446,197.13,82.5744565
4,0.7712,0.7182,28.8,0.053,6.8724066,209.93,87.9361622
4,0.7566,0.7064,36,0.0502,6.6349458,202.73,84.9202027
